,title,date_published,duration,avg_vote,votes,reviews_from_users,metascore,year,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sport,Thriller,War,Western
261,The Dark Divide ,18 September 2020 ,107,5.8,240.0,10,78.0,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,The Dark and the Wicked ,6 November 2020 ,95,6.1,5583.0,159,72.0,2020.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
263,The Devil All the Time ,16 September 2020 ,138,7.1,85637.0,889,55.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
264,The Disciple ,29 September 2020 ,127,6.7,359.0,4,79.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
265,The Doorman ,9 October 2020 ,97,4.4,2741.0,97,41.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,The Duke ,2021 ,96,5.4,112.0,1,84.0,2020.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,The Eight Hundred ,28 August 2020 ,149,7.2,1606.0,22,64.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,The Father ,26 February 2021 ,97,7.5,1033.0,14,87.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
269,The Forty-Year-Old Version ,9 October 2020 ,123,7.2,2498.0,42,80.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,The Glorias ,30 September 2020 ,139,5.3,1741.0,39,58.0,2020.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,The Grudge ,3 January 2020 ,94,4.3,19986.0,581,41.0,2020.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
272,The Half of It ,1 May 2020 ,104,6.9,27136.0,289,74.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
273,The Hater ,29 July 2020 ,135,7.1,10123.0,80,61.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
274,The High Note ,29 May 2020 ,113,6.4,5398.0,124,58.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
275,The Host ,17 January 2020 ,102,4.9,538.0,48,32.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
276,The Hunt ,13 March 2020 ,90,6.5,65377.0,887,50.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,The IntruderÂ ,21 February 2020 ,90,5.4,322.0,0,66.0,2020.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
278,The Invisible Man ,28 February 2020 ,124,7.1,160336.0,1758,72.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
279,The Kid Detective ,16 October 2020 ,100,6.7,2129.0,24,74.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,The Killing of Two Lovers ,23 February 2021 ,85,7.1,174.0,6,92.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
281,The King of Staten Island ,12 June 2020 ,136,7.1,31623.0,357,67.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,The Kissing Booth 2 ,24 July 2020 ,134,5.8,19494.0,368,39.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,The Last Days of American Crime ,5 June 2020 ,148,3.6,9318.0,365,15.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284,The Last Shift ,25 September 2020 ,90,5.5,688.0,28,61.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,The Last Thing He Wanted ,21 February 2020 ,115,4.3,12355.0,389,35.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
286,The Life Ahead ,13 November 2020 ,94,6.8,6045.0,81,66.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
287,The Lost Husband ,10 April 2020 ,109,6.0,3213.0,104,49.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
288,The Lovebirds ,22 May 2020 ,86,6.1,20522.0,255,59.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,The Main Event ,10 April 2020 ,101,4.7,1770.0,47,52.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,The Midnight Sky ,23 December 2020 ,118,5.6,51393.0,1772,58.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
291,The Nest ,24 September 2020 ,107,6.4,4396.0,79,79.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
292,The New Mutants ,28 August 2020 ,94,5.3,38894.0,993,43.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,The Night Clerk ,21 February 2020 ,90,5.5,8761.0,177,44.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
294,The Night House ,1 October 2020 ,108,6.7,175.0,13,62.0,2020.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
295,The Nowhere InnÂ ,25 January 2020 ,91,5.7,46.0,0,61.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,The Old Guard ,10 July 2020 ,125,6.6,122047.0,1631,70.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
297,The One and Only Ivan ,21 August 2020 ,95,6.7,7258.0,92,58.0,2020.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,The Owners ,4 September 2020 ,92,4.8,4130.0,111,53.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,The Pale Door ,21 August 2020 ,96,4.6,2166.0,44,39.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300,The Photograph ,14 February 2020 ,106,6.0,3433.0,92,62.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
301,The Postcard Killings ,13 March 2020 ,104,5.7,6278.0,123,29.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302,The Prom ,11 December 2020 ,130,6.0,17492.0,394,56.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,The Quarry ,17 April 2020 ,98,5.3,1930.0,35,53.0,2020.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
304,The Racer ,18 September 2020 ,95,5.6,513.0,3,54.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,The Rental ,24 July 2020 ,88,5.7,15092.0,317,63.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
306,The Rhythm Section ,31 January 2020 ,109,5.3,11394.0,310,45.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,The Roads Not Taken ,13 March 2020 ,85,5.1,1279.0,31,42.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308,The Salt of Tears ,20 January 2021 ,100,5.9,412.0,1,57.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
309,The Secret Garden ,7 August 2020 ,99,5.5,5217.0,133,59.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310,The Secret: Dare to Dream ,31 July 2020 ,107,6.4,7463.0,136,32.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
311,The Secrets We Keep ,16 September 2020 ,97,5.7,2194.0,27,47.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
312,The Sleepover ,21 August 2020 ,100,5.6,7393.0,119,46.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,The Stand In ,11 December 2020 ,101,4.4,882.0,28,38.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,The Surrogate ,12 June 2020 ,93,5.9,228.0,5,74.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
315,The Tax Collector ,7 August 2020 ,95,4.7,7843.0,346,22.0,2020.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,The Trial of the Chicago 7 ,16 October 2020 ,129,7.8,79847.0,441,77.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
317,The Trip to Greece ,20 May 2020 ,103,6.6,2625.0,46,69.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,The Turning ,24 January 2020 ,94,3.8,9312.0,412,35.0,2020.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
319,The Very Excellent Mr. Dundee ,11 December 2020 ,88,4.8,901.0,74,24.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,The War with Grandpa ,9 October 2020 ,94,5.5,9760.0,164,34.0,2020.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
